,CANDIDATE,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
52769,KAPIL KUMAR CHAUDHARY,2009,Himachal Pradesh,Kangra,IND,0.1
52770,DHANI RAM,2009,Himachal Pradesh,Kangra,IND,0.24
52771,PARTAP SINGH,2009,Himachal Pradesh,Kangra,IND,0.21
52772,ROSHAN LAL,2009,Himachal Pradesh,Kangra,IND,0.69
52773,DR. ONKAR SHAD,2009,Himachal Pradesh,Mandi,CPM,1.86
52774,MAHESHWAR SINGH,2009,Himachal Pradesh,Mandi,BJP,29.39
52775,LALA RAM,2009,Himachal Pradesh,Mandi,BSP,0.91
52776,VIRBHADRA SINGH,2009,Himachal Pradesh,Mandi,INC,30.65
52777,HOOKAM CHAND SHASTRI,2009,Himachal Pradesh,Mandi,RWS,0.71
52778,SHAN MOHAMMAD,2009,Himachal Pradesh,Mandi,IND,0.58
52779,ANURAG SINGH THAKUR,2009,Himachal Pradesh,Hamirpur,BJP,31.46
52780,NARINDER THAKUR,2009,Himachal Pradesh,Hamirpur,INC,25.34
52781,MANGAT RAM SHARMA,2009,Himachal Pradesh,Hamirpur,BSP,0.99
52782,PANKAJ KATNA,2009,Himachal Pradesh,Hamirpur,SHS,0.11
52783,MALKIAT SINGH,2009,Himachal Pradesh,Hamirpur,RRD,0.1
52784,RAJ KUMAR,2009,Himachal Pradesh,Hamirpur,RWS,0.1
52785,DR. RAJENDER SHARMA,2009,Himachal Pradesh,Hamirpur,IND,0.22
52786,ER. SANDEEP SHARMA,2009,Himachal Pradesh,Hamirpur,IND,0.52
52787,DHANI RAM SHANDIL,2009,Himachal Pradesh,Shimla,INC,25.63
52788,VIRENDER KASHYAP,2009,Himachal Pradesh,Shimla,BJP,28.1
52789,SOM NATH,2009,Himachal Pradesh,Shimla,BSP,0.74
52790,GURNAM SINGH CHANDEL,2009,Himachal Pradesh,Shimla,SP,0.19
52791,BRIJ LAL,2009,Himachal Pradesh,Shimla,SHS,0.19
52792,ROOP RAM,2009,Himachal Pradesh,Shimla,IND,0.32
52793,SHURVEER SINGH,2009,Himachal Pradesh,Shimla,IND,0.57
52794,SHARIEF UD DIN SHARIQ,2009,Jammu & Kashmir,Baramulla,JKN,19.25
52795,GH MUSTAFA KASANA,2009,Jammu & Kashmir,Baramulla,BSP,0.42
52796,MOHAMMAD IQBAL JAN,2009,Jammu & Kashmir,Baramulla,JKNPP,0.36
52797,MOHAMMAD DILAWAR MIR,2009,Jammu & Kashmir,Baramulla,JKPDP,13.11
52798,ZAKIR HUSSAIN SHEIKH,2009,Jammu & Kashmir,Baramulla,LJP,0.44
52799,SAJAD GANI LONE,2009,Jammu & Kashmir,Baramulla,JPC,6.2
52800,ASHIQ HUSSAIN GANIE,2009,Jammu & Kashmir,Baramulla,BCDP,0.22
52801,GH AHMAD MALLA,2009,Jammu & Kashmir,Baramulla,AIFB,0.23
52802,GH RASOOL BHAT,2009,Jammu & Kashmir,Baramulla,ANC,0.25
52803,GULAM RASOOL SHAH,2009,Jammu & Kashmir,Baramulla,JKANC,0.38
52804,GH NABI PARRAY,2009,Jammu & Kashmir,Baramulla,RPI,0.25
52805,GH MOHMAD SAMOON,2009,Jammu & Kashmir,Baramulla,IND,0.19
52806,GOWSIA BASHIR,2009,Jammu & Kashmir,Baramulla,IND,0.55
52807,IFTIKHAR HUSSAIN ANSARI,2009,Jammu & Kashmir,Srinagar,JKPDP,10.55
52808,AVTAR KRISHEN PANDITA,2009,Jammu & Kashmir,Srinagar,BJP,0.18
52809,FAROOQ ABDULLAH,2009,Jammu & Kashmir,Srinagar,JKN,13.29
52810,MOHD ASHRAF KHAN,2009,Jammu & Kashmir,Srinagar,BSP,0.22
52811,BILAL AHMAD BHAT,2009,Jammu & Kashmir,Srinagar,SAP,0.06
52812,KHALIDA BEGUM,2009,Jammu & Kashmir,Srinagar,JKANC,0.26
52813,ZAHIR ABBAS BHATTI,2009,Jammu & Kashmir,Srinagar,AIFB,0.04
52814,AB. RASHID LONE,2009,Jammu & Kashmir,Srinagar,RPI(A),0.03
52815,MUSHTAQ AHMAD,2009,Jammu & Kashmir,Srinagar,RKSP,0.03
52816,NISSAR AHMAD AHANGAR,2009,Jammu & Kashmir,Srinagar,BSKRP,0.03
52817,SYED MUJTEBA HUSSAIN,2009,Jammu & Kashmir,Srinagar,IND,0.05
52818,ASHIQ HUSSAIN BHAT,2009,Jammu & Kashmir,Srinagar,IND,0.07
52819,MEHBOOBA SHADAB,2009,Jammu & Kashmir,Srinagar,IND,0.18
52820,MOHD AHSAN MIR,2009,Jammu & Kashmir,Srinagar,IND,0.15
52821,MOHD ALYAS KUMAR,2009,Jammu & Kashmir,Srinagar,IND,0.41
52822,PEER MOHD HUSSAIN,2009,Jammu & Kashmir,Anantnag,JKPDP,12.17
52823,MOHD SIDIQ KHAN,2009,Jammu & Kashmir,Anantnag,BJP,0.33
52824,MIRZA MEHBOOB BEG,2009,Jammu & Kashmir,Anantnag,JKN,12.61
52825,NISAR AHMAD KHAN,2009,Jammu & Kashmir,Anantnag,BSP,0.23
52826,ASIF JEELANI,2009,Jammu & Kashmir,Anantnag,AIFB,0.09
52827,BASHIR AHMAD KHAN,2009,Jammu & Kashmir,Anantnag,RNSP,0.17
52828,BASHIR AHMAD MALIK,2009,Jammu & Kashmir,Anantnag,JKANC,0.26
52829,FAYAZ AHMAD BHAT,2009,Jammu & Kashmir,Anantnag,SP,0.17
52830,MUSHTAQ AHMAD GANIE,2009,Jammu & Kashmir,Anantnag,IJP,0.07
52831,MOHD RAFIQ WANI,2009,Jammu & Kashmir,Anantnag,LJP,0.19
52832,RAJIV MAHAJAN,2009,Jammu & Kashmir,Anantnag,IND,0.15
52833,GH MOHI-UD-DIN SHAH,2009,Jammu & Kashmir,Anantnag,IND,0.15
52834,NAZIR AHMAD BHAT,2009,Jammu & Kashmir,Anantnag,IND,0.51
52835,PHUNTSOG NAMGYAL,2009,Jammu & Kashmir,Ladakh,INC,19.03
52836,GHULAM MURTAZA,2009,Jammu & Kashmir,Ladakh,JKPDP,0.42
52837,ASGAR ALI KARBALAIE,2009,Jammu & Kashmir,Ladakh,IND,16.07
52838,THINLESS ANGMO,2009,Jammu & Kashmir,Ladakh,IND,14.9
52839,HASSAN KHAN,2009,Jammu & Kashmir,Ladakh,IND,21.44
52840,ADREES AHMAD TABBASUM,2009,Jammu & Kashmir,Udhampur,CPI,1.22
52841,BALBIR SINGH,2009,Jammu & Kashmir,Udhampur,JKPDP,2.22
52842,PROF. BHIM SINGH,2009,Jammu & Kashmir,Udhampur,JKNPP,5.1
52843,RAKESH WAZIR,2009,Jammu & Kashmir,Udhampur,BSP,1.57
52844,CH. LAL SINGH,2009,Jammu & Kashmir,Udhampur,INC,17.01
52845,DR. NIRMAL SINGH,2009,Jammu & Kashmir,Udhampur,BJP,16.03
52846,BODH RAJ,2009,Jammu & Kashmir,Udhampur,BCDP,0.3
52847,RAJESH MANCHANDA,2009,Jammu & Kashmir,Udhampur,RKSP,0.11
52848,KANCHAN SHARMA,2009,Jammu & Kashmir,Udhampur,BHBP,0.15
52849,MASTER WILLIAM GILL,2009,Jammu & Kashmir,Udhampur,AIFB,0.13
52850,ATUL SHARMA,2009,Jammu & Kashmir,Udhampur,IND,0.18
52851,DEV RAJ,2009,Jammu & Kashmir,Udhampur,IND,0.16
52852,MOHD. YOUSUF,2009,Jammu & Kashmir,Udhampur,IND,0.34
52853,NARESH DOGRA,2009,Jammu & Kashmir,Udhampur,IND,0.36
52854,S.TARLOK SINGH,2009,Jammu & Kashmir,Jammu,JKPDP,5.45
52855,HUSSAIN ALI,2009,Jammu & Kashmir,Jammu,BSP,2.91
52856,LILA KARAN SHARMA,2009,Jammu & Kashmir,Jammu,BJP,15.17
52857,MADAN LAL SHARMA,2009,Jammu & Kashmir,Jammu,INC,22.23
52858,UDAY CHAND,2009,Jammu & Kashmir,Jammu,DGPP,0.33
52859,SURJIT SINGH 'G' SITARA,2009,Jammu & Kashmir,Jammu,RKSP,0.08
52860,SANT RAM,2009,Jammu & Kashmir,Jammu,BBP,0.09
52861,SANJEEV KUMAR,2009,Jammu & Kashmir,Jammu,LJP,0.08
52862,QARI ZAHIR ABBAS BHATTI,2009,Jammu & Kashmir,Jammu,AIFB,0.11
52863,ABDUL MAJEED MALIK,2009,Jammu & Kashmir,Jammu,BCDP,0.1
52864,ASHOK KUMAR,2009,Jammu & Kashmir,Jammu,IND,0.08
52865,BALWAN SINGH,2009,Jammu & Kashmir,Jammu,IND,0.08
52866,PARAS RAM POONCHI,2009,Jammu & Kashmir,Jammu,IND,0.13
52867,RAMESH CHANDER SHARMA,2009,Jammu & Kashmir,Jammu,IND,0.21
52868,SATISH POONCHI,2009,Jammu & Kashmir,Jammu,IND,0.09
52869,SANJAY KUMAR,2009,Jammu & Kashmir,Jammu,IND,0.19
52870,SHAKEELA BANO,2009,Jammu & Kashmir,Jammu,IND,0.17
52871,LABHA RAM GANDHI,2009,Jammu & Kashmir,Jammu,IND,1.05
52872,CH. MUSHTAQ HUSSAIN,2009,Jammu & Kashmir,Jammu,IND,0.2
52873,NARESH DOGRA,2009,Jammu & Kashmir,Jammu,IND,0.2
52874,HILAL AHMED BAIG,2009,Jammu & Kashmir,Jammu,IND,0.1
52875,KATTI RAMESH,2009,Karnataka,Chikkodi,BJP,34.11
52876,PRAKASH BABANNA,2009,Karnataka,Chikkodi,INC,29.8
52877,SHIVANAND WANTAMURI,2009,Karnataka,Chikkodi,BSP,1.54
52878,BANASHANKARI BHIMAPPA,2009,Karnataka,Chikkodi,IND,0.4
52879,MALLAPPA MARUTI,2009,Karnataka,Chikkodi,IND,0.28
52880,YASHWANT MANOHAR,2009,Karnataka,Chikkodi,IND,0.42
52881,SHAILA SURESH KOLI,2009,Karnataka,Chikkodi,IND,1.01
52882,AMARSINH VASANTRAO,2009,Karnataka,Belgaum,INC,19.27
52883,ANGADI SURESH,2009,Karnataka,Belgaum,BJP,27.89
52884,A. B. PATIL,2009,Karnataka,Belgaum,JD(S),4.98
52885,RAMANAGOUDA,2009,Karnataka,Belgaum,BSP,0.45
52886,ALLAPPA RAMAPPA PATIL,2009,Karnataka,Belgaum,IND,0.29
52887,KASTURI BASANAGOUDA,2009,Karnataka,Belgaum,IND,0.23
52888,MOHAN. H. GADIWADDAR,2009,Karnataka,Belgaum,IND,0.21
52889,RAMCHANDRA MAREPPA,2009,Karnataka,Belgaum,IND,0.32
52890,VIJAYKUMAR JEENDATTA,2009,Karnataka,Belgaum,IND,0.33
52891,HANAJI ASHOK PANDU,2009,Karnataka,Belgaum,IND,0.78
52892,GADDIGOUDAR P.C.,2009,Karnataka,Bagalkot,BJP,30.31
52893,J.T.PATIL,2009,Karnataka,Bagalkot,INC,27.71
52894,FAROOQ PAKALI,2009,Karnataka,Bagalkot,BSP,0.81
52895,BASAVARAJ KALAKAPPA,2009,Karnataka,Bagalkot,NCP,0.15
52896,PARASHURAM JALAGAR,2009,Karnataka,Bagalkot,PPOI,0.1
52897,KADECHUR KALLAPPA,2009,Karnataka,Bagalkot,IND,0.1
52898,GADADANNAVAR RAMESH,2009,Karnataka,Bagalkot,IND,0.47
52899,CHINCHOLI,2009,Karnataka,Bagalkot,IND,0.11
52900,PANDIT SHIVAPPA BODALI,2009,Karnataka,Bagalkot,IND,0.11
52901,BADASHAH RAJESAB,2009,Karnataka,Bagalkot,IND,0.14
52902,BABU RAMAREDDY RAMESH,2009,Karnataka,Bagalkot,IND,0.13
52903,BANDIWADDAR,2009,Karnataka,Bagalkot,IND,0.22
52904,MANOHAR H.A.,2009,Karnataka,Bagalkot,IND,0.21
52905,SHANKAR BHIMAPPA TELI,2009,Karnataka,Bagalkot,IND,0.23
52906,SANNAGOUDAR GURURAJ,2009,Karnataka,Bagalkot,IND,0.45
52907,SANGMESH GURUPADAPPA,2009,Karnataka,Bagalkot,IND,0.83
52908,HIREMATH RENUKARADHYA,2009,Karnataka,Bagalkot,IND,0.98
52909,ALMELKAR VILASABABU,2009,Karnataka,Bijapur,JD(S),2.42
52910,KANAMADI SUDHAKAR,2009,Karnataka,Bijapur,BSP,0.44
52911,PRAKASH KUBASING,2009,Karnataka,Bijapur,INC,19.4
52912,RAMESH CHANDAPPA,2009,Karnataka,Bijapur,BJP,22.49
52913,NARASAPPA TIPPANNA,2009,Karnataka,Bijapur,SKP,0.49
52914,LAMANI CHANDRAKANT,2009,Karnataka,Bijapur,LJP,0.24
52915,ARAKERI NIRMALA,2009,Karnataka,Bijapur,IND,0.26
52916,CHALAWADI RAMANNA,2009,Karnataka,Bijapur,IND,0.27
52917,SEVALAL SOMASHEKAR,2009,Karnataka,Bijapur,IND,0.34
52918,HARIJAN AMBANNA,2009,Karnataka,Bijapur,IND,0.95
52919,BABU HONNA NAIK,2009,Karnataka,Gulbarga,JD(S),1.76
52920,MALLIKARJUN KHARGE,2009,Karnataka,Gulbarga,INC,22.36
52921,MAHADEV. B. DHANNI,2009,Karnataka,Gulbarga,BSP,0.88
52922,REVUNAIK BELAMGI,2009,Karnataka,Gulbarga,BJP,21.5
52923,DR. K. T. PALUSKAR,2009,Karnataka,Gulbarga,PRCP,0.56
52924,RAVIKUMAR SHALIMANI,2009,Karnataka,Gulbarga,ANC,0.24
52925,SHANKER KODLA,2009,Karnataka,Gulbarga,JD(U),0.24
52926,SHANKAR JADHAV,2009,Karnataka,Gulbarga,BHPP,0.34
52927,H.V. DIWAKAR,2009,Karnataka,Gulbarga,IND,0.41
52928,SHIVAKUMAR . KOLLUR,2009,Karnataka,Gulbarga,IND,0.9
52929,K.DEVANNA NAIK,2009,Karnataka,Raichur,JD(S),1.97
52930,PAKKIRAPPA.S.,2009,Karnataka,Raichur,BJP,21.29
52931,RAJA VENKATAPPA NAIK,2009,Karnataka,Raichur,INC,19.23
52932,SHIVAKUMAR,2009,Karnataka,Raichur,BSP,0.8
52933,COM II. V.H.MASTER,2009,Karnataka,Raichur,IND,0.52
52934,COMRADE V.MUDUKAPPA,2009,Karnataka,Raichur,IND,0.57
52935,R.MUDUKAPPA NAYAK,2009,Karnataka,Raichur,IND,0.53
52936,K.SOMASHEKHAR,2009,Karnataka,Raichur,IND,1.0
52937,GURUPADAPPA,2009,Karnataka,Bidar,BJP,20.29
52938,JAGANNATH.R.JAMADAR,2009,Karnataka,Bidar,BSP,1.53
52939,N.DHARAM SINGH,2009,Karnataka,Bidar,INC,22.98
52940,SUBHASH TIPPANNA NELGE,2009,Karnataka,Bidar,JD(S),3.35
52941,ADVOCATE MOULVI,2009,Karnataka,Bidar,NDEP,0.19
52942,BHASKAR BABU,2009,Karnataka,Bidar,ICSP,0.13
52943,SHRAVAN SANGONDA,2009,Karnataka,Bidar,RSP,0.13
52944,SUBHASH CHANDRA,2009,Karnataka,Bidar,LJP,0.14
52945,AMRUTHAPPA.M.D,2009,Karnataka,Bidar,IND,0.12
52946,MD ARSHAD AHMED,2009,Karnataka,Bidar,IND,0.17
52947,KHAJA SAMEEUDDIN KHAJA,2009,Karnataka,Bidar,IND,0.15
52948,JADHAV VENKAT RAO,2009,Karnataka,Bidar,IND,0.15
52949,DONGAPURE SHANT KUMAR,2009,Karnataka,Bidar,IND,0.18
52950,DEVENDRAPPA,2009,Karnataka,Bidar,IND,0.21
52951,NARSAPPA MUTHANGI,2009,Karnataka,Bidar,IND,0.28
52952,PARMESHWAR,2009,Karnataka,Bidar,IND,0.65
52953,PASHAMIYA ESMAIL SAB,2009,Karnataka,Bidar,IND,0.52
52954,BASWARAJ PAILWAN,2009,Karnataka,Bidar,IND,0.27
52955,MANJILE MIYYA PEER SAB,2009,Karnataka,Bidar,IND,0.26
52956,MD OSMAN ALI LAKHPATI,2009,Karnataka,Bidar,IND,0.14
52957,MUFTI SHAIKH ABDUL,2009,Karnataka,Bidar,IND,0.13
52958,YEVATE PATIL SHRIMANTH,2009,Karnataka,Bidar,IND,0.07
52959,YASHWANTH NARSING,2009,Karnataka,Bidar,IND,0.13
52960,SHIVARAJ TIMMANNA,2009,Karnataka,Bidar,IND,0.17
52961,SAMEEUDDIN BANDELI,2009,Karnataka,Bidar,IND,0.13
52962,SURESH SWAMY,2009,Karnataka,Bidar,IND,0.16
52963,SYED QUBUL ULLA,2009,Karnataka,Bidar,IND,0.37
52964,ANSARI IQBAL,2009,Karnataka,Koppal,JD(S),13.23
52965,BASAVARAJ RAYAREDDY,2009,Karnataka,Koppal,INC,15.4
52966,SHIVAPUTRAPPA,2009,Karnataka,Koppal,BSP,0.76
52967,SHIVARAMAGOUDA,2009,Karnataka,Koppal,BJP,21.39
52968,ZAKEER,2009,Karnataka,Koppal,LJP,0.49
52969,BASAVARAJ KARADI,2009,Karnataka,Koppal,JD(U),0.18
52970,BHARADWAJ,2009,Karnataka,Koppal,CPI(ML),0.2
52971,J.ESHWARAPPA,2009,Karnataka,Koppal,IND,0.23
52972,UPPAR HANUMANTAPPA,2009,Karnataka,Koppal,IND,0.19
52973,GOUSIABEGUM,2009,Karnataka,Koppal,IND,0.22
52974,T.CHAKRAVARTI NAYAKA,2009,Karnataka,Koppal,IND,0.27
52975,CHANDRASHEKAR,2009,Karnataka,Koppal,IND,0.28
52976,NAJEER HUSAIN,2009,Karnataka,Koppal,IND,0.27
52977,COMRADE D.H.PUJAR,2009,Karnataka,Koppal,IND,0.31
52978,MAREMMA YANKAPPA,2009,Karnataka,Koppal,IND,0.3
52979,SHARABHAYYA HIREMATH,2009,Karnataka,Koppal,IND,0.87
52980,SHIVAKUMAR NAVALI,2009,Karnataka,Koppal,IND,0.35
52981,HANDI RAFIQ SAB,2009,Karnataka,Koppal,IND,0.4
52982,T. NAGENDRA,2009,Karnataka,Bellary,BSP,1.05
52983,J. SHANTHA,2009,Karnataka,Bellary,BJP,28.7
52984,N.Y. HANUMANTHAPPA,2009,Karnataka,Bellary,INC,28.54
52985,CHOWDAPPA,2009,Karnataka,Bellary,CPI(ML),0.82
52986,D. GANGANNA,2009,Karnataka,Bellary,IND,0.49
52987,B. RAMAIAH,2009,Karnataka,Bellary,IND,0.67
52988,A. RAMANJANAPPA,2009,Karnataka,Bellary,IND,1.15
52989,ASHOK MALLAPPA JAVALI,2009,Karnataka,Haveri,NCP,0.61
52990,UDASI SHIVKUMAR,2009,Karnataka,Haveri,BJP,31.37
52991,IGALA DILLEPPA KARIYAPPA,2009,Karnataka,Haveri,BSP,0.54
52992,SHIVKUMARGOUD,2009,Karnataka,Haveri,JD(S),3.33
52993,SALEEM AHAMED,2009,Karnataka,Haveri,INC,24.96
52994,KRISHNAJI,2009,Karnataka,Haveri,ABHM,0.54
52995,PRABHU K PATIL,2009,Karnataka,Haveri,JD(U),0.2
52996,ALLABAKSH TIMMAPUR,2009,Karnataka,Haveri,IND,0.37
52997,JAGADEESH YANKAPPA,2009,Karnataka,Haveri,IND,0.27
52998,FAKKIRESH SHAMBU,2009,Karnataka,Haveri,IND,0.2
52999,K.N.BADIGER,2009,Karnataka,Haveri,IND,0.37
53000,BASAVARAJ SHANKRAPPA,2009,Karnataka,Haveri,IND,0.83
53001,KASHIMSAB MULLA,2009,Karnataka,Dharwad,BSP,0.42
53002,KUNNUR MANJUNATH,2009,Karnataka,Dharwad,INC,21.9
53003,TALAKALLAMATH MAHESH,2009,Karnataka,Dharwad,NCP,0.51
53004,PRALHAD JOSHI,2009,Karnataka,Dharwad,BJP,31.65
53005,HANUMANTSA,2009,Karnataka,Dharwad,JD(U),0.35
53006,ALI M.SANDIMANI,2009,Karnataka,Dharwad,IND,0.08
53007,ASHOK VISHNUSA BADDI,2009,Karnataka,Dharwad,IND,0.06
53008,IBRAHIM KALLIMANI,2009,Karnataka,Dharwad,IND,0.08
53009,GURUPADAGOUDA,2009,Karnataka,Dharwad,IND,0.1
53010,ZAMEER KHAN,2009,Karnataka,Dharwad,IND,0.1
53011,J. BHASKAR,2009,Karnataka,Dharwad,IND,0.11
53012,BASANAGOUDA,2009,Karnataka,Dharwad,IND,0.14
53013,BASAVARAJ RAMANNA,2009,Karnataka,Dharwad,IND,0.18
53014,BAGWAN NASIR PAPULSAB,2009,Karnataka,Dharwad,IND,0.21
53015,RAMACHANDRA,2009,Karnataka,Dharwad,IND,0.19
53016,SHANKARAPPA,2009,Karnataka,Dharwad,IND,0.46
53017,ANANTKUMAR HEGDE,2009,Karnataka,Uttara Kannada,BJP,26.37
53018,ALVA MARGARET,2009,Karnataka,Uttara Kannada,INC,24.6
53019,HADAPAD BASAVARAJ,2009,Karnataka,Uttara Kannada,BSP,0.73
53020,V D HEGADE,2009,Karnataka,Uttara Kannada,JD(S),3.8
53021,ELISH KOTIYAL,2009,Karnataka,Uttara Kannada,JD(U),0.22
53022,D M GURAV,2009,Karnataka,Uttara Kannada,SHS,0.63
53023,ABDUL RASHEED SHAIKH,2009,Karnataka,Uttara Kannada,IND,0.23
53024,UDAY BABU KHALVADEKAR,2009,Karnataka,Uttara Kannada,IND,0.26
53025,KHAZI RAHMATULLA ABDUL,2009,Karnataka,Uttara Kannada,IND,0.57
53026,L P M NAIK,2009,Karnataka,Uttara Kannada,IND,0.46
53027,YASHWANT TIMMANNA,2009,Karnataka,Uttara Kannada,IND,1.23
53028,K.B. KALLERUDRESHAPPA,2009,Karnataka,Davanagere,JD(S),0.78
53029,S.S. MALLIKARJUNA,2009,Karnataka,Davanagere,INC,31.33
53030,G.M. SIDDESWARA,2009,Karnataka,Davanagere,BJP,31.48
53031,DR. HIDAYATHUR RAHMAN,2009,Karnataka,Davanagere,BSP,0.41
53032,IDLI RAMAPPA,2009,Karnataka,Davanagere,CPI(ML),0.13
53033,G.M. SUDESH,2009,Karnataka,Davanagere,AIJMK,0.09
53034,ARUNDI NINGAPPA,2009,Karnataka,Davanagere,IND,0.15
53035,ALUR M.G. SWAMY,2009,Karnataka,Davanagere,IND,0.09
53036,INAYAT ALI KHAN,2009,Karnataka,Davanagere,IND,0.07
53037,H. ESWARAPPA BOVI,2009,Karnataka,Davanagere,IND,0.06
53038,H.M. EHSANULLA PATEL,2009,Karnataka,Davanagere,IND,0.07
53039,H K KENCHAVEERAPPA,2009,Karnataka,Davanagere,IND,0.12
53040,S. CHANDRASHEKARAPPA,2009,Karnataka,Davanagere,IND,0.11
53041,JAYANNA ITAGI,2009,Karnataka,Davanagere,IND,0.19
53042,H. NAGARAJ PALEGARA,2009,Karnataka,Davanagere,IND,0.14
53043,M. NAGARAJAPPA,2009,Karnataka,Davanagere,IND,0.36
53044,L.S MALLIKARJUN,2009,Karnataka,Davanagere,IND,0.42
53045,MARUTHI H.,2009,Karnataka,Davanagere,IND,0.38
53046,YOGESH RAO SINDHE,2009,Karnataka,Davanagere,IND,0.33
53047,A.RAMESH HULI,2009,Karnataka,Davanagere,IND,0.08
53048,B. RAJASHEKHARAYYA,2009,Karnataka,Davanagere,IND,0.06
53049,DR.RAJU C.,2009,Karnataka,Davanagere,IND,0.07
53050,LOKANAGOWDA PATIL,2009,Karnataka,Davanagere,IND,0.07
53051,VEERESH T.,2009,Karnataka,Davanagere,IND,0.06
53052,DR. SRIDHARA UDUPA,2009,Karnataka,Davanagere,IND,0.05
53053,G. N. SIDDESH,2009,Karnataka,Davanagere,IND,0.1
53054,SUBHAN KHAN,2009,Karnataka,Davanagere,IND,0.08
53055,B. GNANA PRAKASH,2009,Karnataka,Davanagere,IND,0.17
53056,J. JAYAPPA,2009,Karnataka,Shimoga,BSP,0.57
53057,S. BANGARAPPA,2009,Karnataka,Shimoga,INC,29.94
53058,B.Y. RAGHAVENDRA,2009,Karnataka,Shimoga,BJP,33.62
53059,C. MURUGAN,2009,Karnataka,Shimoga,AIJMK,0.42
53060,AKHIL AHMED,2009,Karnataka,Shimoga,IND,0.13
53061,D.S. ESHWARAPPA,2009,Karnataka,Shimoga,IND,0.13
53062,UMESHKUMAR S,2009,Karnataka,Shimoga,IND,0.09
53063,N DINESH KUMAR,2009,Karnataka,Shimoga,IND,0.15
53064,MAINUDDIN.M.S,2009,Karnataka,Shimoga,IND,0.12
53065,MANJAPPA. S.,2009,Karnataka,Shimoga,IND,0.22
53066,M.P. SRIDHAR. BYNDOOR,2009,Karnataka,Shimoga,IND,0.32
53067,H.S. SHEKARAPPA,2009,Karnataka,Shimoga,IND,0.76
53068,K.JAYAPRAKASH HEGDE,2009,Karnataka,Udupi Chikmagalur,INC,30.58
53069,RADHA SUNDARESH,2009,Karnataka,Udupi Chikmagalur,CPI,2.04
53070,D.V.SADANANDA GOWDA,2009,Karnataka,Udupi Chikmagalur,BJP,32.79
53071,J.STEVEN MENEZES,2009,Karnataka,Udupi Chikmagalur,BSP,0.81
53072,COMRADE//UMESH KUMAR,2009,Karnataka,Udupi Chikmagalur,IND,0.27
53073,K.GANAPATHI SHETTIGAR,2009,Karnataka,Udupi Chikmagalur,IND,0.23
53074,VINAYAK MALLYA,2009,Karnataka,Udupi Chikmagalur,IND,0.25
53075,DR. SRIDHARA UDUPA,2009,Karnataka,Udupi Chikmagalur,IND,0.28
53076,SRINIVAS POOJARY,2009,Karnataka,Udupi Chikmagalur,IND,0.92
53077,A. P. AHAMED,2009,Karnataka,Hassan,BSP,1.62
53078,H. D. DEVEGOWDA,2009,Karnataka,Hassan,JD(S),35.03
53079,B. SHIVARAMU,2009,Karnataka,Hassan,INC,14.19
53080,K. H. HANUME GOWDA,2009,Karnataka,Hassan,BJP,14.49
53081,AIJAZ AHMED FAROOQI,2009,Karnataka,Hassan,IND,0.34
53082,KURUBARA KALENAHALLI,2009,Karnataka,Hassan,IND,0.22
53083,KODIHALLI,2009,Karnataka,Hassan,IND,0.55
53084,DEVARAJA. P. B,2009,Karnataka,Hassan,IND,0.19
53085,DANDORA VIJAYAKUMAR,2009,Karnataka,Hassan,IND,0.2
53086,M. MAHESH (HARSHA),2009,Karnataka,Hassan,IND,0.2
53087,RAJANI NARAYANAGOWDA,2009,Karnataka,Hassan,IND,0.25
53088,K. D. REVANNA,2009,Karnataka,Hassan,IND,1.02
53089,B. C. VIJAYAKUMARA,2009,Karnataka,Hassan,IND,0.87
53090,ALEKKADI GIRISH RAI,2009,Karnataka,Dakshina Kannada,BSP,0.75
53091,JANARDHANA POOJARY,2009,Karnataka,Dakshina Kannada,INC,33.63
53092,NALIN KUMAR KATEEL,2009,Karnataka,Dakshina Kannada,BJP,36.59
53093,B.MADHAVA,2009,Karnataka,Dakshina Kannada,CPM,1.34
53094,VICHARAWADI ANANDA,2009,Karnataka,Dakshina Kannada,IND,0.17
53095,DR.THIRUMALA RAYA,2009,Karnataka,Dakshina Kannada,IND,0.13
53096,MOHAMMED SALI,2009,Karnataka,Dakshina Kannada,IND,0.14
53097,K RAMA BHAT URIMAJALU,2009,Karnataka,Dakshina Kannada,IND,0.44
53098,VASUDEVA GOWDA M. P.,2009,Karnataka,Dakshina Kannada,IND,0.23
53099,DR.U.P.SHIVANANDA,2009,Karnataka,Dakshina Kannada,IND,0.35
53100,SUBRAHMANYA KUMAR,2009,Karnataka,Dakshina Kannada,IND,0.65
53101,JANARDHANA SWAMY,2009,Karnataka,Chitradurga,BJP,24.18
53102,M JAYANNA,2009,Karnataka,Chitradurga,BSP,1.87
53103,DR. B THIPPESWAMY,2009,Karnataka,Chitradurga,INC,15.34
53104,M RATHNAKAR,2009,Karnataka,Chitradurga,JD(S),9.52
53105,SHASHISHEKAR NAIK,2009,Karnataka,Chitradurga,RJD,1.06
53106,M KUMBAIAH,2009,Karnataka,Chitradurga,IND,0.27
53107,GANESHA,2009,Karnataka,Chitradurga,IND,0.24
53108,K H DURGASIMHA,2009,Karnataka,Chitradurga,IND,0.35
53109,RAMACHANDRA,2009,Karnataka,Chitradurga,IND,0.3
53110,B SUJATHA,2009,Karnataka,Chitradurga,IND,0.35
